unlabeled_index,pseudo_label,confidence
1,0,0.9080
2,1,0.9431
3,0,0.9795
5,0,0.9772
6,0,0.9820
7,1,0.9920
8,1,0.9618
9,1,0.9526
10,1,0.9844
11,0,0.9688
12,1,0.9163
13,1,0.9470
14,1,0.8372
15,1,0.9114
16,0,0.9759
17,1,0.9883
18,0,0.9624
19,0,0.9689
20,1,0.9600
21,1,0.9505
22,1,0.9966
23,0,0.9723
24,0,0.9197
26,1,0.8467
28,1,0.9663
30,1,0.8658
31,1,0.9378
32,1,0.9475
34,0,0.9761
36,1,0.8884
37,0,0.9830
38,1,0.8940
39,1,0.9987
40,1,0.9668
42,1,0.9824
43,1,0.9977
44,1,0.9044
45,0,0.9783
46,1,0.9908
47,1,0.9931
48,1,0.8986
50,1,0.9679
51,0,0.9881
53,1,0.8867
54,1,0.9964
55,1,0.9915
57,1,0.9729
58,1,0.8752
59,0,0.9689
60,0,0.9513
63,1,0.9021
64,1,0.8314
66,0,0.8048
67,1,0.9969
68,1,0.9651
69,1,0.9987
70,1,0.9703
71,0,0.9610
72,0,0.9402
73,1,0.9844
75,1,0.9943
76,1,0.9953
77,1,0.9709
78,0,0.8954
79,0,0.9882
80,0,0.9835
81,0,0.9813
82,1,0.9942
86,1,0.8512
88,1,0.9756
89,0,0.9618
90,1,0.9777
92,0,0.9528
93,1,0.9592
94,0,0.8916
95,0,0.9891
97,1,0.9997
98,0,0.9523
99,0,0.9538
100,0,0.9730
101,1,0.8686
102,1,0.8956
103,0,0.9810
104,1,0.9683
106,0,0.9775
107,1,0.9213
108,1,0.9543
109,1,0.9984
110,1,0.9926
113,1,0.8170
114,1,0.9244
115,1,0.9743
117,0,0.9734
118,1,0.9853
119,0,0.9772
120,0,0.9767
121,0,0.9782
122,1,0.9996
123,0,0.9533
124,1,0.9805
125,0,0.9794
127,0,0.9836
129,0,0.8036
130,1,0.9962
131,0,0.9721
132,1,0.9883
133,1,0.9879
134,1,0.8804
135,1,0.9741
136,0,0.8841
137,0,0.9718
138,1,0.8139
140,1,0.9805
141,1,0.9889
142,0,0.9722
143,1,0.9581
144,0,0.9787
149,0,0.9702
150,0,0.8002
151,1,0.9871
152,1,0.9257
153,1,0.9283
154,1,0.8975
156,1,0.9310
157,1,0.8809
159,0,0.9640
161,0,0.8084
162,1,0.9907
163,1,0.9965
165,1,0.9023
166,1,0.9142
167,0,0.9830
170,1,0.8123
171,1,0.9923
172,1,0.9865
173,0,0.9798
174,1,0.9996
176,1,0.9322
177,0,0.9735
178,1,0.9969
180,1,0.8846
181,1,0.9895
182,1,0.9365
183,1,0.9728
184,0,0.9778
185,1,0.9270
186,0,0.9551
187,1,0.9252
188,0,0.9804
189,1,0.8744
192,1,0.9792
193,1,0.9921
194,1,0.9813
195,1,0.9856
196,1,0.8844
197,1,0.9360
199,1,0.9901
200,0,0.9668
201,1,0.8313
202,0,0.9749
203,1,0.9995
204,1,0.9968
205,0,0.9801
207,0,0.9638
208,0,0.9783
209,1,0.9962
210,1,0.9434
211,1,0.9703
214,0,0.9783
215,1,0.8687
216,1,0.8875
217,1,0.8756
218,1,0.9214
219,1,0.9879
220,0,0.9770
222,0,0.9718
224,0,0.8445
225,1,0.8435
226,1,0.9679
227,1,0.9990
232,0,0.9782
233,1,0.9116
234,0,0.9651
235,0,0.9756
236,0,0.9742
239,1,0.9860
240,1,0.9978
241,0,0.8460
243,1,0.9949
244,1,0.9773
245,0,0.9807
249,1,0.9975
250,1,0.9966
252,0,0.9846
253,1,0.9292
254,0,0.9432
255,0,0.9833
257,0,0.8841
259,1,0.9218
260,1,0.8075
261,1,0.9898
262,0,0.9836
263,1,0.9910
264,0,0.9817
266,0,0.9873
267,1,0.9886
268,1,0.8710
271,1,0.9967
272,1,0.9932
273,0,0.9745
275,1,0.9473
276,1,0.9751
277,1,0.9969
278,0,0.9711
279,0,0.9760
280,1,0.8866
281,0,0.9319
285,0,0.9693
288,1,0.9948
289,0,0.9884
290,0,0.9720
291,1,0.8338
292,0,0.9837
295,1,0.9998
296,1,0.9163
297,1,0.9940
298,1,0.9993
300,1,0.9904
301,0,0.9794
302,1,0.9689
303,0,0.9750
305,1,0.9233
306,0,0.9681
307,0,0.8701
308,1,0.9530
309,1,0.9915
311,1,0.9830
313,0,0.9751
314,1,0.8424
316,1,0.9842
317,0,0.9841
319,1,0.9993
320,1,0.9820
324,1,0.9913
326,0,0.9835
327,1,0.9992
329,1,0.9805
330,0,0.9581
331,0,0.9869
332,1,0.9749
335,0,0.9818
336,1,0.9951
338,1,0.9815
339,0,0.8398
340,1,0.9971
341,1,0.9950
342,0,0.9869
343,1,0.9768
344,1,0.9558
346,0,0.8693
347,0,0.9844
348,1,0.9885
350,0,0.8156
351,1,0.9876
352,0,0.9791
353,0,0.9704
355,1,0.9776
356,0,0.9786
357,0,0.8756
359,1,0.9854
363,1,0.9529
364,0,0.9705
365,1,0.9579
366,1,0.9805
368,1,0.9420
370,0,0.9675
371,0,0.9795
373,1,0.9486
374,0,0.9875
